key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id,excl_reason,labels,decision_c1,decision_c2,agreement
rayyan-1105741456,Understanding civil servants' intentions to open data: factors        influencing behavior to disclose data,2023,,MAR,INFORMATION TECHNOLOGY & PEOPLE,0959-3845,,,"","Kleiman, F and Jansen, SJT and Meijer, S and Janssen, M and Kleiman, Fernando and Jansen, Sylvia J. T. and Meijer, Sebastiaan and Janssen, Marijn","",English,EMERALD GROUP PUBLISHING LTD,"HOWARD HOUSE, WAGON LANE, BINGLEY BD16 1WA, W YORKSHIRE, ENGLAND","PurposeThe opening of government data is high on the policy agenda of governments worldwide. However, data release faces barriers due to limited support of civil servants, whereas the literature neglects civil servants' role in opening data. This paper aims at understanding why civil servants can be reluctant to support the disclosure of data. The authors developed a model to explain civil servants' behavioral intention to open data.Design/methodology/approachThe authors test a series of hypotheses by collecting and analyzing survey data from 387 civil servants and by applying multivariate hierarchical regression.FindingsThe results indicate the factors influencing the behavior of civil servants. Social influences, performance expectancy, data management knowledge and risks have a significant influence. Personal characteristics control these effects.Research limitations/implicationsCaution is needed to generalize the findings towards the support to open data provision by civil servants. Though the analyzed sample was limited to Brazil, other countries and cultures might yield different outcomes. Larger and more diversified samples might indicate significant effects on variables not found in this research.Practical implicationsThe insights can be used to develop policies for increasing the support of civil servants towards governmental data disclosure.Originality/valueThis study suggests factors of influence to civil servants' behavior intentions to disclose governmental data. It results in a model of factors, specifically for their behavioral intention at the individual level.","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded"""", """"Rümeysa""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 5_adresses_government_health",10.1108/ITP-12-2020-0893     EA MAR 2023,TECHNOLOGY ACCEPTANCE MODEL;OF-THE-ART;USER ACCEPTANCE;INFORMATION-TECHNOLOGY;GOVERNMENT DATA;RISK;FRAMEWORK;ADOPTION;IMPACT;TRUST,,,5_adresses_government_health,,Excluded,Excluded,1
rayyan-1105741457,When Data Sharing Gets Close to 100%: What Human Paleogenetics Can Teach        the Open Science Movement,2015,3,23,PLOS ONE,1932-6203,10,3,"","Anagnostou, P and Capocasa, M and Milia, N and Sanna, E and Battaggia, C and Luzi, D and Bisol, GD and Anagnostou, Paolo and Capocasa, Marco and Milia, Nicola and Sanna, Emanuele and Battaggia, Cinzia and Luzi, Daniela and Bisol, Giovanni Destro","",English,PUBLIC LIBRARY SCIENCE,"1160 BATTERY STREET, STE 100, SAN FRANCISCO, CA 94111 USA","This study analyzes data sharing regarding mitochondrial, Y chromosomal and autosomal polymorphisms in a total of 162 papers on ancient human DNA published between 1988 and 2013. The estimated sharing rate was not far from totality (97.6% +/- 2.1%) and substantially higher than observed in other fields of genetic research (evolutionary, medical and forensic genetics). Both a questionnaire-based survey and the examination of Journals' editorial policies suggest that this high sharing rate cannot be simply explained by the need to comply with stakeholders requests. Most data were made available through body text, but the use of primary databases increased in coincidence with the introduction of complete mitochondrial and next-generation sequencing methods. Our study highlights three important aspects. First, our results imply that researchers' awareness of the importance of openness and transparency for scientific progress may complement stakeholders' policies in achieving very high sharing rates. Second, widespread data sharing does not necessarily coincide with a prevalent use of practices which maximize data findability, accessibility, useability and preservation. A detailed look at the different ways in which data are released can be very useful to detect failures to adopt the best sharing modalities and understand how to correct them. Third and finally, the case of human paleogenetics tells us that a widespread awareness of the importance of Open Science may be important to build reliable scientific practices even in the presence of complex experimental challenges.","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded"""", """"Rümeysa""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 5_adresses_government_health",10.1371/journal.pone.0121409,ANCIENT;SOCIETY;AVAILABILITY;GENETICS;FUTURE;DNA;Humanities;Humanism;Humans;Information Dissemination;Movement,,,5_adresses_government_health,,Excluded,Excluded,1
rayyan-1105741458,Towards a linked open data resource for direct speech acts in Greek and        Latin epic,2022,10,22,DIGITAL SCHOLARSHIP IN THE HUMANITIES,2055-7671,37,4,972-981,"Forstall, CW and Finkmann, S and Verhelst, B and Forstall, Christopher W. and Finkmann, Simone and Verhelst, Berenice","",English,OXFORD UNIV PRESS,"GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND","The Digital Initiative for Classics: Epic Speeches (DICES) research group reports here on preliminary work to integrate research on Greek and Latin epic speeches into the larger ecosystem of linked open data (LOD) for classical scholarship. The ability to collate speech data from different researchers and to leverage external repositories of texts and characters opens up new possibilities for interrogation of the epic corpus. We briefly survey the current state of scholarship on epic speeches and of the digital infrastructure on which we propose to build. We outline a model for harmonizing speech data across studies and aligning it with existing LOD standards. Finally, we discuss some early proof-of-concept results and the larger implications of this approach for the field. The long-term aim of the DICES project is to build a database of metadata on direct speech in Greek and Latin epic, not only covering canonical texts such as Homer and Virgil, but also including the less-studied texts of the late antique period, which will benefit greatly both from the increased accessibility and also from the diachronic perspective afforded by a corpus-based approach. The envisioned database also has the potential to include diachronic data from additional genres and languages at a later stage.","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded"""", """"Rümeysa""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 5_adresses_government_health,4_not_prerequisites_barriers_facilitators_",10.1093/llc/fqac006     EA MAR 2022,Speech,,,"5_adresses_government_health,4_not_prerequisites_barriers_facilitators_",,Excluded,Excluded,1
rayyan-1105741459,Open data for algorithms: mapping poverty in Belize using open satellite        derived features and machine learning,2021,4,3,INFORMATION TECHNOLOGY FOR DEVELOPMENT,0268-1102,27,2,263-292,"Hersh, J and Engstrom, R and Mann, M and Hersh, Jonathan and Engstrom, Ryan and Mann, Michael","",English,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND","Mapping the spatial distribution of poverty and incomes within a country remains a challenge. Recently, several proposed methods incorporate features from satellite imagery to improve model performance (Babenko et al.,2017, Poverty mapping using convolutional neural networks trained on high and medium resolution satellite images, with an application in Mexico. ArXiv Preprint ArXiv:1711.06323) or supplant small area estimation methods (Jean et al.,2016, Combining satellite imagery and machine learning to predict poverty. Science, 353(6301), 790-94. doi:10.1126/science.aaf7894; Engstrom et al.,2017, Poverty from space: Using high-resolution satellite imagery for estimating economic well-being.). However, these methods require high-spatial resolution imagery which, given their cost and infrequent acquisition, may render these advances impractical for most applications. We investigate how small area estimates of average income may improve when incorporating features derived from Sentinel-2 and MODIS imagery. Both satellites provide free imagery, have global coverage, and a frequent revisit rate. We estimate a poverty map for Belize which incorporates spatial and time series features derived from these sensors, with and without survey derived variables. We document an 8% percent improvement in model performance when including these satellite features. We conclude by arguing that Open Data for Development should include open data pipelines where possible.","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded"""", """"Rümeysa""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 3 _not_human_observation_response_data",10.1080/02681102.2020.1811945     EA OCT 2020,FOREST DISTURBANCE;CLASSIFICATION;LANDTRENDR;REGRESSION;Algorithms,,,3 _not_human_observation_response_data,,Excluded,Excluded,1
rayyan-1105741460,Preview and Introduction of Open-Science Guidelines,2018,10,"",EXCEPTIONAL CHILDREN,0014-4029,85,1,6-9,"Lloyd, JW and Therrien, WJ and Lloyd, John Wills and Therrien, William J.","",English,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, CA 91320 USA","","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded"""", """"Rümeysa""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 1 not sharing/ not using,4_not_prerequisites_barriers_facilitators_",10.1177/0014402918795348,"",,,"1 not sharing/ not using,4_not_prerequisites_barriers_facilitators_",,Excluded,Excluded,1
rayyan-1105741461,Understanding the evolution of open government data research: towards        open data sustainability and smartness,2021,,APR,INTERNATIONAL REVIEW OF ADMINISTRATIVE SCIENCES,0020-8523,,,"","Gao, YY and Janssen, M and Zhang, CC and Gao, Yingying and Janssen, Marijn and Zhang, Congcong","",English,SAGE PUBLICATIONS LTD,"1 OLIVERS YARD, 55 CITY ROAD, LONDON EC1Y 1SP, ENGLAND","The past decade has witnessed a rapid development of open government data practices and academic research. However, there is no systematic survey of existing research to understand the evolution of open government data. Such research can facilitate knowledge transfer within and across domains, and foster learning for countries in the early stages of open government data development. This study quantitively extracted the evolution trajectory of open government data based on the main path analysis method and then analysed the underlying motivations. The results show that open government data research went through four main phases and that the open government data movement has spread towards developing countries and smart cities. Different challenges and issues faced by the researchers in each phase drove the evolution of open government data research. Finally, we discuss future directions of open government data research based on our findings and recent development. There is a tendency to create sustainable open government data and smartness by employing artificial intelligence and creating data marketplaces.        Points for practitioners        Open government data efforts have evolved over the years into a global phenomenon. Countries have learned from each other and more and more efforts are focused on innovating with open government data by stimulating co-creation and using other incentives. The way that data are opened should focus on achieving goals like innovation, participation, transparency and accountability. There is a tendency to create sustainable open government data and smartness by employing artificial intelligence and creating data marketplaces.","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded"""", """"Rümeysa""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 5_adresses_government_health",10.1177/00208523211009955     EA APR 2021,OPEN DATA POLICIES;TRANSPARENCY;ADOPTION;LESSONS;COLLABORATION;BARRIERS;NETWORK;DOMAIN,,,5_adresses_government_health,,Excluded,Excluded,1
rayyan-1105741462,Open Data Portals in Africa: An Analysis of Open Government Data        Initiatives,2016,10,"",AFRICAN JOURNAL OF LIBRARY ARCHIVES AND INFORMATION SCIENCE,0795-4778,26,2,97-106,"Bello, O and Akinwande, V and Jolayemi, O and Ibrahim, A and Bello, Olayiwola and Akinwande, Victor and Jolayemi, Oluwatoyosi and Ibrahim, Ahmed","",English,ARCHLIB & INFORMATION SERVICES LTD,"PO BOX 20492, IBADAN, 00000, NIGERIA","African countries like other developed nations are beginning to open up data towards attaining transparency and accountability. A better understanding by citizens of what a government does and the level of performance achieved can be better understood by making public sector data open. Citizens can therefore hold their government accountable for not meeting up with stated goals and misconducts. This study employs a survey through content analysis to evaluate the extent of implementation of open data portals. Variables used for the evaluation are Berners-Lee 5 star of open data, implementation technology, data formats, licensing, major data sets and functionality across the African continent. A total of twenty-two data portals from seventeen different countries were assessed. Seven of the data portals representing 32% of the total number of the data portals were implemented using Drupal tool (Dkan). About 60% of the portals under investigation are national initiatives, and Nigeria has the only regional/state initiative and the only two independent organisation data portals. The only two university related-initiatives as well as the only city-based data portal were from South Africa, while a specialised data portal dedicated to the Ebola crisis was captured from Sierra Leone. The dates for the creation of the data portals span from 2011 to the current year (2015). The result indicates that an appreciable effort is being made in the creation of data portals; however, more countries need to take the giant stride to data provisioning in the open formats. More data sets also need to be populated onto the portals. Movement towards attaining the 5 star status of open data portals is in progress but a lot needs to be done towards attaining this. There is also a need to complement the efforts of national governments, and this could be done by regional/state, cities, universities, and independent organisations.","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded"""", """"Rümeysa""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 5_adresses_government_health","","",,,5_adresses_government_health,,Excluded,Excluded,1
rayyan-1105741463,The emerging complexity of Open Science: assessing Intelligent Data        Openness in Genomic Anthropology and Human Genomics,2021,,"",JOURNAL OF ANTHROPOLOGICAL SCIENCES,1827-4765,99,,135-152,"Anagnostou, P and Capocasa, M and Brisighelli, F and Battaggia, C and Bisol, GD and Anagnostou, Paolo and Capocasa, Marco and Brisighelli, Francesca and Battaggia, Cinzia and Bisol, Giovanni Destro","",English,IST ITALIANO ANTROPOLOGIA,"UNIV SAPIENZA, DIPARTIMENTO DI BIOLOGIA ANIMALE E DELL UOMO, PE LE A        MORO 5, ROMA, 00185, ITALY","In recent decades, the scientific community has become aware of the importance of science being effectively open in order to speed up scientific and technological progress. In this context, the achievement of a robust, effective and responsible form of data sharing is now widely acknowledged as a fundamental part of the research process. The production and resolution of human genomic data has steadily increased in recent years, mainly due to technological advances and decreasing costs of DNA genotyping and sequencing. There is, however, a downside to this process due to the huge increase in the complexity of the data and related metadata. This means it is advisable to go beyond traditional forms of sharing analysis, which have focused on data availability only. Here we present a pilot study that aims to complement a survey on the availability of data related to peer-reviewed publications with an analysis of their findability, accessibility, useability and assessability (according to the """"intelligent data openness"""" scheme). Sharing rates in genomic anthropology (73.0%) were found to be higher than human genomics (32.4%), but lower than closely related research fields (from 96.8% to 79.2% for paleogenetics and evolutionary genetics, respectively). We discuss the privacy and methodological issues that could be linked to this finding. Comparisons of sharing rates across a wide range of disciplines has suggested that the idea of human genomics as a forerunner for the open data movement should be questioned. Finally, both in genomic anthropology and human genomics, findability and useability were found to be compliant with the expectations of an intelligent data openness, whereas only a minor part of studies met the need to make the data completely assessable.","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded"""", """"Rümeysa""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 2 _not_qualitative/_video_data_,3 _not_human_observation_response_data",10.4436/jass.99016,"MICROARRAY EXPERIMENT MIAME;MINIMUM INFORMATION;WIDE ASSOCIATION;GENETIC RESEARCH;POPULATION;AVAILABILITY;RESOURCES;LESSONS;COMMON;Humanities;Humanism;Humans;Genome, Human;Genome;Genomics",,,"2 _not_qualitative/_video_data_,3 _not_human_observation_response_data",,Excluded,Excluded,1
rayyan-1105741465,"Conducting a Meta-Analysis in the Age of Open Science: Tools, Tips, and        Practical Recommendations",2022,6,"",PSYCHOLOGICAL METHODS,1082-989X,27,3,426-432,"Moreau, D and Gamble, B and Moreau, David and Gamble, Beau","",English,AMER PSYCHOLOGICAL ASSOC,"750 FIRST ST NE, WASHINGTON, DC 20002-4242 USA","Psychology researchers are rapidly adopting open science practices, yet clear guidelines on how to apply these practices to meta-analysis remain lacking. In this tutorial, we describe why open science is important in the context of mew-analysis in psychology, and suggest how to adopt the 3 main components of open science: preregistration. open materials, and open data. We first describe how to make the preregistration as thorough as possible-and how to handle deviations from the plan. We then focus on creating easy-to-read materials (e.g., search syntax, R scripts) to facilitate reproducibility and bolster the impact of a meta-analysis. Finally, we suggest how to organize data (e.g., literature search results, data extracted from studies) that are easy to share, interpret, and update as new studies emerge. For each step of the meta-analysis, we provide example templates. accompanied by brief video tutorials. and show how to integrate these practices into the Open Science Framework (hups://osrio/q8stz/).","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded"""", """"Rümeysa""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 2 _not_qualitative/_video_data_,4_not_prerequisites_barriers_facilitators_",10.1037/met0000351,PSYCHOLOGY,,,"2 _not_qualitative/_video_data_,4_not_prerequisites_barriers_facilitators_",,Excluded,Excluded,1
rayyan-1105741466,Topographic Mapping Evolution: From Field and Photographically Collected        Data to GIS Production and Linked Open Data,2018,,"",CARTOGRAPHIC JOURNAL,0008-7041,55,4,378-390,"Usery, EL and Varanka, DE and Davis, LR and Usery, E. Lynn and Varanka, Dalia E. and Davis, Larry R.","",English,TAYLOR & FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND","Whither the topographic map? Topographic mapping historically has been approached as a map factory operation through the period 1879-1990. During this time, data were field and photogrammetrically collected; cartographically verified and annotated creating a compilation manuscript; further edited, generalized, symbolized, and produced as a graphic output product using lithography, or more recently, through digital means. Adoption of geographic information systems (GIS) as the primary production process for topographic maps, including digital database preparation (1975-2000) and product generation operations (2001-present), has led to faster and more standardized production in a semi-automated process. However, the topographic product has remained the same static graphic. A new form of topographic map as an interactive, linked knowledge base is now being created. The appearance of the Semantic Web and Linked Open Data allows the map to become an interactive knowledge base. In this current theory and implementation of topographic mapping, the map is a graphics-based interface to a triplestore knowledge base which includes a topographic feature ontology, semantics and relations, and instance data with geometry and topology available. The topographic map graphic becomes an interactive link to the knowledge base and additional linked data through the Linked Open Data cloud.","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded"""", """"Rümeysa""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 5_adresses_government_health,3 _not_human_observation_response_data",10.1080/00087041.2018.1539555,"",,,"5_adresses_government_health,3 _not_human_observation_response_data",,Excluded,Excluded,1
rayyan-1105741467,Open Science Standards at Journals that Inform Evidence-Based Policy,2023,,MAY,PREVENTION SCIENCE,1389-4986,,,"","Grant, S and Mayo-Wilson, E and Kianersi, S and Naaman, K and Henschel, B and Grant, Sean and Mayo-Wilson, Evan and Kianersi, Sina and Naaman, Kevin and Henschel, Beate","",English,SPRINGER/PLENUM PUBLISHERS,"233 SPRING ST, NEW YORK, NY 10013 USA","Evidence-based policy uses intervention research to inform consequential decisions about resource allocation. Research findings are often published in peer-reviewed journals. Because detrimental research practices associated with closed science are common, journal articles report more false-positives and exaggerated effect sizes than would be desirable. Journal implementation of standards that promote open science-such as the transparency and openness promotion (TOP) guidelines-could reduce detrimental research practices and improve the trustworthiness of research evidence on intervention effectiveness. We evaluated TOP implementation at 339 peer-reviewed journals that have been used to identify evidence-based interventions for policymaking and programmatic decisions. Each of ten open science standards in TOP was not implemented in most journals' policies (instructions to authors), procedures (manuscript submission systems), or practices (published articles). Journals implementing at least one standard typically encouraged, but did not require, an open science practice. We discuss why and how journals could improve implementation of open science standards to safeguard evidence-based policy.","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded"""", """"Rümeysa""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 4_not_prerequisites_barriers_facilitators_",10.1007/s11121-023-01543-z     EA MAY 2023,INTERNATIONAL COMMITTEE;PSYCHOTHERAPEUTIC INTERVENTIONS;PROGRAM        REGISTERS;PUBLICATION BIAS;TRANSPARENCY;EFFICACY;TRIALS;METAANALYSES;REGISTRATION;STATEMENT,,,4_not_prerequisites_barriers_facilitators_,,Excluded,Excluded,1
rayyan-1105741468,A pan-Canadian measure of active living environments using open data,2019,5,"",HEALTH REPORTS,0840-6529,30,5,16-25,"Herrmann, T and Gleckner, W and Wasfi, RA and Thierry, B and Kestens, Y and Ross, NA and Herrmann, Thomas and Gleckner, William and Wasfi, Rania A. and Thierry, Benoit and Kestens, Yan and Ross, Nancy A.","",English,STATISTICS CANADA,"100 TUNNEYS PASTURE DRIVEWAY, OTTAWA, ONTARIO K1A 0T6, CANADA","Background: Neighbourhood environments that support active living, such as walking or cycling for transportation, may decrease the burden of chronic conditions related to sedentary behaviour. Many measures exist to summarize features of communities that support active living, but few are pan-Canadian and none use open data sources that can be widely shared. This study reports the development and validation of a novel set of indicators of active living environments using open data that can be linked to national health surveys and can be used by local, regional or national governments for public health surveillance.        Data and methods: A Geographic Information System (GIS) was used to calculate a variety of measures of the connectivity, density and proximity to destinations for 56,589 dissemination areas (DAs) across Canada (2016 data). Pearson correlation coefficients were calculated to assess the association between each measure and the rates of walking to work and taking active transportation to work (a combination of walking, cycling and using public transportation) from census data. The active living environment measures selected for the final database were used to classify the DAs by the favourability of their active living environment into groups by k-medians clustering.        Results: All measures were correlated with walking-to-work and active-transportation-to-work rates at the DA level, whether they were derived using proprietary or open data sources. Coverage of open data was consistent across Canadian regions. Three measures were selected for the Canadian Active Living Environments (Can-ALE) dataset based on the correlation analysis, but also on the principles of suitability for a variety of community sizes and openly available data: (1) three-way intersection density of roads and footpaths derived from OpenStreetMap (OSM), (2) weighted dwelling density derived from Statistics Canada dwelling counts and (3) points of interest derived from OSM. A measure of access to public transportation was added for the subset of DAs in larger urban areas and was strongly related to active-transportation-to-work rates. Active-transportation-to-work rates were graded, in steps, by the five Can-ALE groups derived from the cluster analysis, although walking-to-work rates exceeded the national average only in the most favourable active living environments.        Interpretation: Open data may be used to derive measures that characterize the active living environments of Canadian communities.","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded"""", """"Rümeysa""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 5_adresses_government_health",10.25318/82-003-x201900500002-eng,PHYSICAL-ACTIVITY;NEIGHBORHOOD WALKABILITY;BUILT ENVIRONMENT;LAND-USE;QUALITY;WALKING;ASSOCIATIONS;ADULTS;TRAVEL;HELP,,,5_adresses_government_health,,Excluded,Excluded,1
rayyan-1105741469,Extracurricular Open Science An addition to the recommendations for        action,2022,1,"",PSYCHOLOGISCHE RUNDSCHAU,0033-3042,73,1,45-+,"Gruning, DJ and Gruning, David J.","",German,HOGREFE VERLAG,"MERKELSTRASSE 3, GOTTINGEN, GERMANY","","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded"""", """"Rümeysa""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: Duplicate,4_not_prerequisites_barriers_facilitators_",10.1026/0033-3042/a000576,"",,,"Duplicate,4_not_prerequisites_barriers_facilitators_",,Excluded,Excluded,1
rayyan-1105741470,"Open science, closed doors: The perils and potential of open science for        research in practice",2022,12,"",INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY-PERSPECTIVES ON SCIENCE AND        PRACTICE,1754-9426,15,4,495-515,"Guzzo, RA and Schneider, B and Nalbantian, HR and Guzzo, Richard A. and Schneider, Benjamin and Nalbantian, Haig R.","",English,CAMBRIDGE UNIV PRESS,"32 AVENUE OF THE AMERICAS, NEW YORK, NY 10013-2473 USA","This paper advocates for the value of open science in many areas of research. However, after briefly reviewing the fundamental principles underlying open science practices and their use and justification, the paper identifies four incompatibilities between those principles and scientific progress through applied research. The incompatibilities concern barriers to sharing and disclosure, limitations and deficiencies of overidentifying with hypothetico-deductive methods of inference, the paradox of replication efforts resulting in less robust findings, and changes to the professional research and publication culture such that it will narrow in favor of a specific style of research. Seven recommendations are presented to maximize the value of open science while minimizing its adverse effects on the advancement of science in practice.","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded"""", """"Rümeysa""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 4_not_prerequisites_barriers_facilitators_",10.1017/iop.2022.61,ORGANIZATIONAL-PSYCHOLOGY;CUSTOMER PERCEPTIONS;INDUSTRIAL;EMPLOYEE;CLIMATE;SERVICE;TRUSTWORTHY;MANAGEMENT;VALIDITY;FIELD,,,4_not_prerequisites_barriers_facilitators_,,Excluded,Excluded,1
rayyan-1105741471,Open science-related policies in Europe,2023,6,15,SCIENCE AND PUBLIC POLICY,0302-3427,50,3,521-530,"Moradi, S and Abdi, S and Moradi, Sh and Abdi, S.","",English,OXFORD UNIV PRESS,"GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND","This study aims to review the open science (OS) policy documents, identify their subject areas, and distinguish the topics of OS support policies in seven European countries, providing a platform for practical cooperation between countries in science popularization. With a qualitative-inductive approach, all pertinent policy documents in OS were collected through documentary study, and thematic analysis was conducted to identify OS policies for each country. Finally, forty-six policy documents extracted up to December 2020 were thematically analyzed through a qualitative-inductive case study. All selected countries had developed OS policies, and these supportive policies were generally related to the three dimensions of 'open input, open process, and open output'. In 'open input', recommendations for the performance of research data repositories, as well as management criteria, are considered. Most countries adopted 'open output' protectionist policies. Multiple policies in the 'open process' indicate the need for an appropriate OS platform.","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded"""", """"Rümeysa""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 3 _not_human_observation_response_data,4_not_prerequisites_barriers_facilitators_",10.1093/scipol/scac082     EA MAR 2023,Europe,,,"3 _not_human_observation_response_data,4_not_prerequisites_barriers_facilitators_",,Excluded,Excluded,1
rayyan-1105741472,Making data meaningful: guidelines for good quality open data,2021,7,4,JOURNAL OF SOCIAL PSYCHOLOGY,0022-4545,161,4,395-402,"Towse, AS and Ellis, DA and Towse, JN and Towse, Andrea S. and Ellis, David A. and Towse, John N.","",English,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND","","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded"""", """"Rümeysa""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 2 _not_qualitative/_video_data_",10.1080/00224545.2021.1938811     EA JUL 2021,"",,,2 _not_qualitative/_video_data_,,Excluded,Excluded,1
rayyan-1105741473,ESCORT: Fine-Grained Urban Crime Risk Inference Leveraging Heterogeneous        Open Data,2021,9,"",IEEE SYSTEMS JOURNAL,1932-8184,15,3,4656-4667,"Zhou, BB and Chen, LB and Zhou, FX and Li, SJ and Zhao, S and Das, SK and Pan, G and Zhou, Binbin and Chen, Longbiao and Zhou, Fangxun and Li, Shijian and Zhao, Sha and Das, Sajal K. and Pan, Gang","",English,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,"445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA","Crime has been a complex social problem worldwide, impacting numerous individuals in both property and psychology, and affecting public safety as well. To prevent and avoid crime is of great importance for urban authorities and citizens. Crime prediction using various urban sensing data provides a promising paradigm to cope with this challenging problem. However, previous studies on crime prediction mainly focus on coarse-grained prediction at the region level, which fail in fine-grained road-level crime inference due to data sparsity problems. This article proposes a road-level framework for fine-grained crime risk inference leveraging heterogeneous open data. We first extract a set of features from relevant external datasets and historical crime records, i.e., temporal, spatial, and recurrence crime features. We then establish a spatio-temporal crime pattern using spatio-temporal features, and further infer road-level crime risk incorporating with recurrence crime features. The framework not only considers a useful spatio-temporal pattern but also considers a unique crime near-repeat phenomenon, which helps address the data sparsity. We further present an application crime risk-aware route recommendation to demonstrate the effectiveness of our framework. This application cannot be solved well with coarse-grained (e.g., region-level) crime risk results since it is inconvenient for people to travel while avoiding large regions with potential crime risks. Experiments with the real-world datasets from New York City show that our framework accurately infers road-level crime risk and outperforms other baseline methods.","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded"""", """"Rümeysa""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 3 _not_human_observation_response_data,4_not_prerequisites_barriers_facilitators_ | USER-NOTES: {""""Jürgen""""=>[""""statt \""""human subjects\"""" besser \""""human learning processes\""""?""""]}",10.1109/JSYST.2020.3023762,REGRESSION;Crime;Cereals,,,"3 _not_human_observation_response_data,4_not_prerequisites_barriers_facilitators_ |",,Excluded,Excluded,1
